lemma,pos,suffix,anchor,qid,sid,etym,status,first_seen,last_seen,forms,glosses
administrivia,noun,1,sig:administrivia,,,,active,2025-08-17,2025-08-17,administrivia,
admor,noun,1,sig:admorim,,,,active,2025-08-17,2025-08-17,admorim,
adnexitis,noun,1,sig:adnexitides,,,,active,2025-08-17,2025-08-17,adnexitides,
adnyamathanha,noun,2,sig:adnyamathanha,,,,active,2025-08-17,2025-08-17,adnyamathanha,
adonis,noun,2,sig:adonides,,,,active,2025-08-17,2025-08-17,adonides,
adperson,noun,2,sig:adpeople,,,,active,2025-08-17,2025-08-17,adpeople,
adrenocortex,noun,2,sig:adrenocortices,,,,active,2025-08-17,2025-08-17,adrenocortices,
adviso,noun,2,sig:advisoes,,,,active,2025-08-17,2025-08-17,advisoes,
advocatus,noun,1,sig:advocati,,,,active,2025-08-17,2025-08-17,advocati,
adynaton,noun,2,sig:adynata,,,,active,2025-08-17,2025-08-17,adynata,
adyton,noun,2,sig:adyta,,,,active,2025-08-17,2025-08-17,adyta,
adytum,noun,2,sig:adytums,,,,active,2025-08-17,2025-08-17,adytums,
adytus,noun,2,sig:adytus,,,,active,2025-08-17,2025-08-17,adytus,
adz,noun,1,sig:adzes,,,,active,2025-08-17,2025-08-17,adzes,
aeacid,noun,2,sig:aeacidae,,,,active,2025-08-17,2025-08-17,aeacidae,
aecidium,noun,2,sig:aecidiums,,,,active,2025-08-17,2025-08-17,aecidiums,
aecium,noun,2,sig:aeciums,,,,active,2025-08-17,2025-08-17,aeciums,
aedeagus,noun,1,sig:aedeagi,,,,active,2025-08-17,2025-08-17,aedeagi,
aedicula,noun,1,sig:aediculae,,,,active,2025-08-17,2025-08-17,aediculae,
aegagrus,noun,1,sig:aegagri,,,,active,2025-08-17,2025-08-17,aegagri,
aegipan,noun,2,sig:aegipanes,,,,active,2025-08-17,2025-08-17,aegipanes,
aegis,noun,2,sig:aegides,,,,active,2025-08-17,2025-08-17,aegides,
aenach,noun,1,sig:aenachs,,,,active,2025-08-17,2025-08-17,aenachs,
aenigma,noun,2,sig:aenigmata,,,,active,2025-08-17,2025-08-17,aenigmata,
aeonium,noun,1,sig:aeoniums,,,,active,2025-08-17,2025-08-17,aeoniums,
aerenchyma,noun,2,sig:aerenchymae,,,,active,2025-08-17,2025-08-17,aerenchymae,
aerobus,noun,2,sig:aerobusses,,,,active,2025-08-17,2025-08-17,aerobusses,
aerocraft,noun,2,sig:aerocraft,,,,active,2025-08-17,2025-08-17,aerocraft,
aeronef,noun,1,sig:aeronefs,,,,active,2025-08-17,2025-08-17,aeronefs,
aeroplankton,noun,2,sig:aeroplankton,,,,active,2025-08-17,2025-08-17,aeroplankton,
aerotropolis,noun,2,sig:aerotropoli,,,,active,2025-08-17,2025-08-17,aerotropoli,
aesthetics,noun,1,sig:aesthetics,,,,active,2025-08-17,2025-08-17,aesthetics,
aesymnetes,noun,1,sig:aesymnetai,,,,active,2025-08-17,2025-08-17,aesymnetai,
aeta,noun,2,sig:aeta,,,,active,2025-08-17,2025-08-17,aeta,
aett,noun,2,sig:aettir,,,,active,2025-08-17,2025-08-17,aettir,
af,noun,1,sig:afs,,,,active,2025-08-17,2025-08-17,afs,
afar,noun,2,sig:afar,,,,active,2025-08-17,2025-08-17,afar,
aff,noun,1,sig:affs,,,,active,2025-08-17,2025-08-17,affs,
afficionado,noun,2,sig:afficionadi,,,,active,2025-08-17,2025-08-17,afficionadi,
affogato,noun,2,sig:affogati,,,,active,2025-08-17,2025-08-17,affogati,
affresco,noun,2,sig:affrescoes,,,,active,2025-08-17,2025-08-17,affrescoes,
aficionado,noun,2,sig:aficionadoes,,,,active,2025-08-17,2025-08-17,aficionadoes,
afikoman,noun,1,sig:afikomans,,,,active,2025-08-17,2025-08-17,afikomans,
aflaj,noun,1,sig:aflaj,,,,active,2025-08-17,2025-08-17,aflaj,
aflaj,noun,2,sig:aflajes,,,,active,2025-08-17,2025-08-17,aflajes,
afrancesado,noun,2,sig:afrancesadoes,,,,active,2025-08-17,2025-08-17,afrancesadoes,
africanis,noun,1,sig:africanis,,,,active,2025-08-17,2025-08-17,africanis,
africo,noun,2,sig:africoes,,,,active,2025-08-17,2025-08-17,africoes,
afrikaans,noun,1,sig:afrikaans,,,,active,2025-08-17,2025-08-17,afrikaans,
afshar,noun,2,sig:afshar,,,,active,2025-08-17,2025-08-17,afshar,
afterlife,noun,1,sig:afterlives,,,,active,2025-08-17,2025-08-17,afterlives,
agalinis,noun,1,sig:agalinis,,,,active,2025-08-17,2025-08-17,agalinis,
agalma,noun,1,sig:agalmata,,,,active,2025-08-17,2025-08-17,agalmata,
agamospecies,noun,1,sig:agamospecies,,,,active,2025-08-17,2025-08-17,agamospecies,
agapanthus,noun,2,sig:agapanthi,,,,active,2025-08-17,2025-08-17,agapanthi,
agape,noun,1,sig:agapae,,,,active,2025-08-17,2025-08-17,agapae,
agape,noun,2,sig:agapai,,,,active,2025-08-17,2025-08-17,agapai,
agapet,noun,1,sig:agapetae,,,,active,2025-08-17,2025-08-17,agapetae,
agaz,noun,1,sig:agaces,,,,active,2025-08-17,2025-08-17,agaces,
agaz,noun,2,sig:agaz,,,,active,2025-08-17,2025-08-17,agaz,
agaz,noun,3,sig:agazes,,,,active,2025-08-17,2025-08-17,agazes,
agbada,noun,2,sig:agbada,,,,active,2025-08-17,2025-08-17,agbada,
agendum,noun,2,sig:agendums,,,,active,2025-08-17,2025-08-17,agendums,
ageratum,noun,1,sig:ageratums,,,,active,2025-08-17,2025-08-17,ageratums,
aggadah,noun,2,sig:aggadah,,,,active,2025-08-17,2025-08-17,aggadah,
aggadah,noun,3,sig:aggadot,,,,active,2025-08-17,2025-08-17,aggadot,
aggadah,noun,4,sig:aggadoth,,,,active,2025-08-17,2025-08-17,aggadoth,
aghorapanthi,noun,2,sig:aghorapanthi,,,,active,2025-08-17,2025-08-17,aghorapanthi,
aglu,noun,2,sig:agluit,,,,active,2025-08-17,2025-08-17,agluit,
agn,noun,2,sig:agne,,,,active,2025-08-17,2025-08-17,agne,
agn,noun,3,sig:agni,,,,active,2025-08-17,2025-08-17,agni,
agnomen,noun,2,sig:agnomina,,,,active,2025-08-17,2025-08-17,agnomina,
agon,noun,2,sig:agones,,,,active,2025-08-17,2025-08-17,agones,
agonistarch,noun,1,sig:agonistarchs,,,,active,2025-08-17,2025-08-17,agonistarchs,
agonothetes,noun,1,sig:agonothetai,,,,active,2025-08-17,2025-08-17,agonothetai,
agora,noun,2,sig:agorae,,,,active,2025-08-17,2025-08-17,agorae,
agora,noun,3,sig:agorai,,,,active,2025-08-17,2025-08-17,agorai,
agora,noun,4,sig:agorot,,,,active,2025-08-17,2025-08-17,agorot,
agora,noun,5,sig:agoroth,,,,active,2025-08-17,2025-08-17,agoroth,
agorah,noun,1,sig:agorot,,,,active,2025-08-17,2025-08-17,agorot,
agoranomos,noun,1,sig:agoranomoi,,,,active,2025-08-17,2025-08-17,agoranomoi,
agraff,noun,1,sig:agraffs,,,,active,2025-08-17,2025-08-17,agraffs,
agraphon,noun,1,sig:agrapha,,,,active,2025-08-17,2025-08-17,agrapha,
agribusinessperson,noun,2,sig:agribusinesspeople,,,,active,2025-08-17,2025-08-17,agribusinesspeople,
agrichnion,noun,1,sig:agrichnia,,,,active,2025-08-17,2025-08-17,agrichnia,
agrifoodstuff,noun,1,sig:agrifoodstuffs,,,,active,2025-08-17,2025-08-17,agrifoodstuffs,
ags,noun,1,sig:agss,,,,active,2025-08-17,2025-08-17,agss,
agta,noun,2,sig:agta,,,,active,2025-08-17,2025-08-17,agta,
aguna,noun,2,sig:agunot,,,,active,2025-08-17,2025-08-17,agunot,
aguna,noun,3,sig:agunoth,,,,active,2025-08-17,2025-08-17,agunoth,
