infinitive,third_person_singular,past,present_participle,past_participle
lowp,lowps,lowped,lowping,lowped
aurify,aurifies,aurified,aurifying,aurified
rotisserie,rotisseries,rotisseried,rotisserieing,rotisseried
vassal,vassals,vassalled,vassalling,vassalled
dischurch,dischurches,dischurched,dischurching,dischurched
reavouch,reavouches,reavouched,reavouching,reavouched
fishify,fishifies,fishified,fishifying,fishified
overbuild,overbuilds,overbuilt,overbuilding,overbuilt
factify,factifies,factified,factifying,factified
topstitch,topstitches,topstitched,topstitching,topstitched
unbespeak,unbespeaks,unbespoke,unbespeaking,unbespoken
sprog,sprogs,sprogged,sprogging,sprogged
beflay,beflays,beflayed,beflaying,beflain
unrig,unrigs,unrigged,unrigging,unrigged
overclothe,overclothes,overclad,overclothing,overclad
phototypeset,phototypesets,phototypeset,phototypesetting,phototypeset
rogue,rogues,rogued,rogueing,rogued
antiquify,antiquifies,antiquified,antiquifying,antiquified
fratch,fratches,fratched,fratching,fratched
cockneyfy,cockneyfies,cockneyfied,cockneyfying,cockneyfied
chalan,chalans,chalanned,chalanning,chalanned
overjut,overjuts,overjutted,overjutting,overjutted
misseek,misseeks,missought,misseeking,missought
beguilty,beguilties,beguiltied,beguiltying,beguiltied
dally,dallies,dallied,dallying,dallied
misapply,misapplies,misapplied,misapplying,misapplied
relaunch,relaunches,relaunched,relaunching,relaunched
cockshy,cockshies,cockshied,cockshying,cockshied
phrensy,phrensies,phrensied,phrensying,phrensied
overweary,overwearies,overwearied,overwearying,overwearied
foresend,foresends,foresent,foresending,foresent
hutch,hutches,hutched,hutching,hutched
offhold,offholds,offheld,offholding,offholden
dragnet,dragnets,dragnetted,dragnetting,dragnetted
drog,drogs,drogged,drogging,drogged
refel,refels,refelled,refelling,refelled
overdrive,overdrives,overdrove,overdriving,overdriven
kurdify,kurdifies,kurdified,kurdifying,kurdified
fansub,fansubs,fansubbed,fansubbing,fansubbed
distil,distils,distilled,distilling,distilled
atrophy,atrophies,atrophied,atrophying,atrophied
extremify,extremifies,extremified,extremifying,extremified
butty,butties,buttied,buttying,buttied
fasel,fasels,faselled,faselling,faselled
preadmit,preadmits,preadmitted,preadmitting,preadmitted
tablet,tablets,tabletted,tabletting,tabletted
sinch,sinches,sinched,sinching,sinched
shariafy,shariafies,shariafied,shariafying,shariafied
unhem,unhems,unhemmed,unhemming,unhemmed
certify,certifies,certified,certifying,certified
smatch,smatches,smatched,smatching,smatched
infeoff,infeoffs,infeft,infeoffing,infeft
dremel,dremels,dremelled,dremelling,dremelled
intermat,intermats,intermatted,intermatting,intermatted
besit,besits,besat,besitting,besat
sightread,sightreads,sightread,sightreading,sightread
resweep,resweeps,reswept,resweeping,reswept
undermatch,undermatches,undermatched,undermatching,undermatched
coenrich,coenriches,coenriched,coenriching,coenriched
tat,tats,tatted,tatting,tatted
scollop,scollops,scolloped,scolloping,scolloped
outcreep,outcreeps,outcrept,outcreeping,outcrept
levy,levies,levied,levying,levied
unfur,unfurs,unfurred,unfurring,unfurred
sully,sullies,sullied,sullying,sullied
overhie,overhies,overhied,overhying,overhied
heightmog,heightmogs,heightmogged,heightmogging,heightmogged
hello,helloes,helloed,helloing,helloed
preplan,preplans,preplanned,preplanning,preplanned
party,parties,partied,partying,partied
whig,whigs,whigged,whigging,whigged
colabel,colabels,colabelled,colabelling,colabelled
unwinch,unwinches,unwinched,unwinching,unwinched
stride,strides,strode,striding,strid
why,whies,whied,whying,whied
deny,denies,denied,denying,denied
rewatch,rewatches,rewatched,rewatching,rewatched
downlight,downlights,downlit,downlighting,downlit
outecho,outechoes,outechoed,outechoing,outechoed
stimy,stimies,stimied,stimying,stimied
trollop,trollops,trolloped,trolloping,trolloped
yankee,yankees,yankeed,yankeeing,yankeed
forerun,foreruns,foreran,forerunning,forerun
keg,kegs,kegged,kegging,kegged
reloop,reloops,relooped,relooping,relooped
manify,manifies,manified,manifying,manified
chisel,chisels,chiselled,chiselling,chiselled
stupidify,stupidifies,stupidified,stupidifying,stupidified
deech,deeches,deeched,deeching,deeched
birdiesit,birdiesits,birdiesat,birdiesitting,birdiesat
dismarry,dismarries,dismarried,dismarrying,dismarried
modem,modems,modemmed,modemming,modemmed
fortear,fortears,fortore,fortearing,fortorn
galp,galps,galped,galping,galped
bethink,bethinks,bethought,bethinking,bethought
deroach,deroaches,deroached,deroaching,deroached
rawdog,rawdogs,rawdogged,rawdogging,rawdogged
overpitch,overpitches,overpitched,overpitching,overpitched
cranny,crannies,crannied,crannying,crannied
shram,shrams,shrammed,shramming,shrammed
fetch,fetches,fetched,fetching,fetched
outfeel,outfeels,outfelt,outfeeling,outfelt
regrasp,regrasps,regrasped,regrasping,regrasped
tradpub,tradpubs,tradpubbed,tradpubbing,tradpubbed
sinofy,sinofies,sinofied,sinofying,sinofied
bun,buns,bunned,bunning,bunned
undream,undreams,undreamt,undreaming,undreamt
slit,slits,slit,slitting,slit
forebring,forebrings,forebrought,forebringing,forebrought
rebid,rebids,rebid,rebidding,rebid
catstitch,catstitches,catstitched,catstitching,catstitched
mak,maks,made,makin,made
sit,sits,sat,sitting,sat
deter,deters,deterred,deterring,deterred
beseek,beseeks,besought,beseeking,besought
forteach,forteaches,fortaught,forteaching,fortaught
dele,deles,deled,deleing,deled
varify,varifies,varified,varifying,varified
rumpus,rumpuses,rumpussed,rumpusing,rumpussed
overfreight,overfreights,overfreighted,overfreighting,overfraught
awake,awakes,awoke,awaking,awoken
dewokify,dewokifies,dewokified,dewokifying,dewokified
stot,stots,stotted,stottin,stotted
pinguefy,pinguefies,pinguefied,pinguefying,pinguefied
drawe,drawes,drewe,drawing,drawen
cod,cods,codded,codding,codded
reinput,reinputs,reinputted,reinputting,reinputted
reforgive,reforgives,reforgave,reforgiving,reforgiven
lib,libs,libbed,libbing,libbed
lucify,lucifies,lucified,lucifying,lucified
resing,resings,resang,resinging,resung
gratify,gratifies,gratified,gratifying,gratified
unken,unkens,unkenned,unkenning,unkenned
subspecify,subspecifies,subspecified,subspecifying,subspecified
caretake,caretakes,caretook,caretaking,caretaken
signify,signifies,signified,signifying,signified
lend,lends,lent,lending,lent
stram,strams,strammed,stramming,strammed
belay,belays,belaid,belaying,belaid
detackify,detackifies,detackified,detackifying,detackified
quar,quars,quarred,quarring,quarred
trach,traches,trached,traching,trached
recce,recces,recceed,recceing,recceed
dp,dps,dped,dping,dped
pimp,pimps,pimped,pimping,pimped
overcut,overcuts,overcut,overcutting,overcut
vom,voms,vommed,vomming,vommed
oddify,oddifies,oddified,oddifying,oddified
unthrive,unthrives,unthrove,unthriving,unthriven
dis,disses,dissed,dissing,dissed
upshoot,upshoots,upshot,upshooting,upshot
fub,fubs,fubbed,fubbing,fubbed
uphang,uphangs,uphung,uphanging,uphung
kanye,kanyes,kanyed,kanyeing,kanyed
bleed,bleeds,bled,bleeding,bled
sammy,sammies,sammied,sammying,sammied
pornify,pornifies,pornified,pornifying,pornified
beshine,beshines,beshone,beshining,beshone
big,bigs,bigged,bigging,bigged
faggify,faggifies,faggified,faggifying,faggified
unsend,unsends,unsent,unsending,unsent
rethatch,rethatches,rethatched,rethatching,rethatched
nyam,nyams,nyammed,nyamming,nyammed
rehab,rehabs,rehabbed,rehabbing,rehabbed
oversignify,oversignifies,oversignified,oversignifying,oversignified
prerun,preruns,preran,prerunning,prerun
ready,readies,readied,readying,readied
deslot,deslots,deslotted,deslotting,deslotted
assrun,assruns,assran,assrunning,assrun
relevel,relevels,relevelled,relevelling,relevelled
mispeg,mispegs,mispegged,mispegging,mispegged
overpay,overpays,overpaid,overpaying,overpaid
dutch,dutches,dutched,dutching,dutched
upstir,upstirs,upstirred,upstirring,upstirred
nightclub,nightclubs,nightclubbed,nightclubbing,nightclubbed
undersignal,undersignals,undersignalled,undersignalling,undersignalled
glamp,glamps,glamped,glamping,glamped
flabberghast,flabberghasts,flabberghasted,flabberghasting,flabberghast
bedrench,bedrenches,bedrenched,bedrenching,bedrenched
instrew,instrews,instrewed,instrewing,instrewn
chronify,chronifies,chronified,chronifying,chronified
unstretch,unstretches,unstretched,unstretching,unstretched
encoop,encoops,encooped,encooping,encooped
vinify,vinifies,vinified,vinifying,vinified
unfret,unfrets,unfretted,unfretting,unfretted
foreshow,foreshows,foreshowed,foreshowing,foreshown
prognostify,prognostifies,prognostified,prognostifying,prognostified
worry,worries,worried,worrying,worried
overfocus,overfocusses,overfocussed,overfocussing,overfocussed
busy,busies,busied,busying,busied
