positive,comparative,superlative
tame,tamer,tamest
placid,placider,placidest
stageworthy,stageworthier,stageworthiest
blond,blonder,blondest
close,closer,closest
weird2,weirder,weirdest
stay,stayer,stayest
sucky,suckier,suckiest
cracky,crackier,crackiest
crackly,cracklier,crackliest
zesty,zestier,zestiest
sweaty,sweatier,sweatiest
skunky,skunkier,skunkiest
tuff,tuffer,tuffest
dear2,dearer,dearest
scanty,scantier,scantiest
miffy,miffier,miffiest
skrunkly,skrunklier,skrunkliest
nitpicky,nitpickier,nitpickiest
swart,swarter,swartest
nosy,nosier,nosiest
unworldly,unworldlier,unworldliest
smoky,smokier,smokiest
trace,more trace,tracest
spivvy,spivvier,spivviest
puny,punier,puniest
throaty,throatier,throatiest
early,earlier,earliest
frowny,frownier,frowniest
fabby,fabbier,fabbiest
tacky,tackier,tackiest
slovenly,slovenlier,slovenliest
motley,motlier,motliest
spunky,spunkier,spunkiest
offally,offallier,offalliest
loathy,loathier,loathiest
cloudly,cloudlier,cloudliest
nittie,nittier,nittiest
stalky,stalkier,stalkiest
hetty,hettier,hettiest
snacky,snackier,snackiest
vasty,vastier,vastiest
shoogly,shooglier,shoogliest
godly,godlier,godliest
greek,greeker,greekest
bougie,bougier,bougiest
chancy,chancier,chanciest
scribbley,scribblier,scribbliest
drossy,drossier,drossiest
snatchy,snatchier,snatchiest
risky,riskier,riskiest
purdy,purdier,purdiest
ornary,ornarier,ornariest
starey,starier,stariest
shnazzy,shnazzier,shnazziest
bilgy,bilgier,bilgiest
unruly,unrulier,unruliest
chipper,chipperer,chipperest
bandy,bandier,bandiest
blonde,blonder,blondest
doty,dotier,dotiest
pimply,pimplier,pimpliest
supreme,supremer,supremest
clever,cleverer,cleverest
preppy,preppier,preppiest
cunty,cuntier,cuntiest
stealthy,stealthier,stealthiest
dearthy,dearthier,dearthiest
proud,prouder,proudest
wedgy,wedgier,wedgiest
raughty,raughtier,raughtiest
left,lefter,leftmost
staunch,stauncher,staunchest
naif,naifer,naifest
bawdy,bawdier,bawdiest
googly,googlier,googliest
rookie,rookier,rookiest
musty2,mustier,mustiest
zhlubby,zhlubbier,zhlubbiest
gleg,glegger,gleggest
many,more,most
cushy,cushier,cushiest
feely2,feelier,feeliest
taggy,taggier,taggiest
knurly,knurlier,knurliest
mealy,mealier,mealiest
rigid,rigider,rigidest
laky,lakier,lakiest
yellowy,yellowier,yellowiest
schmalzy,schmalzier,schmalziest
warty,wartier,wartiest
grudgy,grudgier,grudgiest
swotty,swottier,swottiest
antique,antiquer,antiquest
